"","strain_original","accession","authors","institution","date"
"3990","hMPX/Human/USA/CA-LACPHL-MA00026/2022","OP440599","Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-07-21"
"3991","NY-NYCPHL-000168","OQ468815","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-06-30"
"3992","Monkeypox/PT0011/2022","ON649725","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal","2022-05-23"
"3993","ANT-LDSP-ANT-MPX-25254C","OP642403","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-09-13"
"3994","MN-MDH-MPXV_0002","OP597776","Plumb,M.R.","Minnesota Department of Health","2022-06-25"
"3995","NY-NYCPHL-000483","OQ469098","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-19"
"3996","NY-NYCPHL-001037","OQ469232","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-06-25"
"3997","Monkeypox virus/Human/USA/CA-LACPHL-MA00375/2022","OQ330978","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-10-06"
"3998","MPXV/Germany/2022/RKI430","OP594194","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"3999","MPXV_USA_2022_MA0008","OP890366","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"4000","MPXV/Germany/2022/ON/RKI314","OP355572","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"4001","MpxV/human/CAN/UN-NML-2967/2022","ON803442","Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.","National Microbiology Laboratory, Public Health Agency of Canada","2022-05-16"
"4002","MPXV/Human/USA/CA-LACPHL-MA00406/2023","OQ503829","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2023-01-09"
"4003","NY-NYCPHL-000891","OQ468681","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-08"
"4004","MPXV/Human/USA/CA-LACPHL-MA00343/2022","OP920681","Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-11-10"
"4005","Monkeypox/PT0311/2022","OP414345","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-06"
"4006","MPXV/Germany/2022/RKI08","ON682268","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany","2022-05-XX"
"4007","MPXV/Germany/2022/RKI064","ON813264","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","","2022-06-XX"
"4008","NY-NYCPHL-000182","OQ504413","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-06-29"
"4009","MPXV/Germany/2022/ON/RKI464","OP615334","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"4010","LBMB-UTP_MP-001_QUI","OQ107058","Tabares,F.A., Anacona,J.D., Mora,P.A., Orjuela,M., Zuluaga,A., Sepulveda,J.C.","Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud","2022-09-14"
"4011","MPXV_USA_2022_MA0097","OP890452","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"4012","MPXV_USA_2022_MA0113","OP890467","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"4013","MPXV_USA_2022_MA0098","OP890453","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"4014","MPXV/Germany/2022/RKI168","OP018594","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"4015","hMpxV/USA/CA-CDPH-1MPX1000094/2022","OQ348843","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-06-29"
"4016","MPXV_USA_2022_MA0100","OP890455","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"4017","Monkeypox/PT0019/2022","ON649717","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal","2022-05-21"
"4018","NY-NYCPHL-000062","OQ469025","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-06-11"
"4019","MpxV/human/USA/WA-UW-113297/2022","OQ503749","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-11-XX"
"4020","MpxV/human/USA/WA-UW-098297/2022","OP743975","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-09-XX"
"4021","MPXV/Germany/2022/RKI349","OP484670","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"4022","MPX/PT0109/2022","OP245343","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-18"
"4023","NY-NYCPHL-000690","OQ468630","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-18"
"4024","MPXV/Germany/2022/RKI352","OP484673","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"4025","MpxV/human/USA/OH-UW-071048/2022","OP442938","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-07-XX"
"4026","MPXV_USA_2022_MA0117","OP890470","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"4027","MpxV/human/USA/WA-UW-077836/2022","OP123043","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine","2022-07-XX"
"4028","MPXV_UK_2022_9000144","OP205107","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-06-16"
"4029","MPXV_USA_2022_TX0024","OP687947","Gigante,C.M., Kubin,G., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., White,S.L., Li,Y.","CDC, DHCPP-PRB","2022-08-XX"
"4030","MPXV/Germany/2022/RKI144","ON959159","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"4031","MPXV/Germany/2022/ON/RKI319","OP355576","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"4032","Monkeypox/PT0210/2022","OP324520","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-25"
"4033","hMPX/Human/USA/CA-LACPHL-MA00024/2022","OP440597","Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-07-25"
"4034","NY-NYCPHL-000036","OQ469019","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-11"
"4035","MPXV_USA_2022_MA0082","OP890437","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"4036","hMpxV/USA/CACDPH1MPX1000155/2022","OQ547873","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-12-15"
"4037","Monkeypox/PT0392/2022","OP555488","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-13"
"4038","Monkeypox/PT0372/2022","OP555468","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-05"
"4039","NJ-MPXV-046","OP879760","Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories","2022-07-22"
"4040","Monkeypox/PT0546/2022","OP555617","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-08-27"
"4041","NY-NYCPHL-000646","OQ468617","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-18"
"4042","ANT-LDSP-ANT-MPX-23651-L","OP459216","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia","2022-08-30"
"4043","MPXV/Germany/2022/RKI346","OP484667","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"4044","MPXV/Germany/2022/RKI575","OP837337","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-06-XX"
"4045","hMpxV/USA/ID-IBL-839943/2022","OP381203","Ceniseros,A.","Idaho Bureau of Laboratories, Molecular Epidemiology","2022-07-26"
"4046","MPXV_USA_2022_TN0006","OP752119","Gigante,C.M., Thomas,L., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Morrison,S.S., Desch,M., Knipe,K., Weigand,M.R., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Dunn,J., Li,Y.","CDC, DHCPP-PRB","2022-08-XX"
"4047","NY-NYCPHL-001155","OQ418996","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-05"
"4048","MPXV-USA-IL-IDPH-067","OP536728","Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry","2022-06-25"
"4049","NY-NYCPHL-000531","OQ419034","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-26"
"4050","MPXV/Germany/2022/RKI368","OP484689","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"4051","hMpxV/Netherlands/NH-AUMC-0001/2022","OP160532","Tutu van Furth AM, van der Kuip M, van Els AL, Fievez LC, van Rijckevorsel GG, van den Ouden A, Jonges M, Welkers MR, Welkers,M., Jonges,M.","Amsterdam Medical Centres location AMC, Medical Microbiology & Infection Prevention","2022-06-XX"
"4052","NY-NYCPHL-000363","OQ504420","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-15"
"4053","MpxV/human/CAN/UN-NML-3272/2022","ON880536","Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.","National Microbiology Laboratory, Public Health Agency of Canada","2022-05-31"
"4054","9000453","OP536815","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-09-XX"
"4055","Monkeypox/PT0536/2022","OP555607","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-08-22"
"4056","NY-NYCPHL-000446","OQ504440","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-21"
"4057","NY-NYCPHL-000495","OQ419021","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-22"
"4058","MPXV_USA_2022_MA0020","OP890378","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"4059","MPX/PT0089/2022","OP245339","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-18"
"4060","Monkeypox/PT0538/2022","OP555609","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-08-23"
"4061","MpxV/human/CAN/UN-NML-2836/2022","ON803417","Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.","National Microbiology Laboratory, Public Health Agency of Canada","2022-05-17"
"4062","MPXV/Human/USA/CA-LACPHL-MA00357/2022","OP920695","Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-11-08"
"4063","MPXV_USA_2022_DC0011","OP451010","Gigante,C.M., Hauser,J.R., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mangla,A., Li,Y.","CDC, DHCPP-PRB","2022-06-XX"
"4064","NY-NYCPHL-000997","OQ468549","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-12"
"4065","MpxV/human/CAN/UN-NML-3672/2022","OP013014","Duggan,A., Hole,D., Yadav,C., Knox,N., Chapel,M., Tyler,A., Haidl,E., Domselaar,G.V., Antonation,K., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Leung,A., Jolly,G., Fafard,J., Charest,H., Levade,I.","National Microbiology Laboratory, Public Health Agency of Canada","2022-06-11"
"4066","MPXV_UK_2022_9000099","OP205087","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-06-09"
"4067","MPXV_UK_2022_9000179","OP205128","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-06-26"
"4068","NY-NYCPHL-000338","OQ469085","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-10"
"4069","NY-NYCPHL-001011","OQ469216","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-06"
"4070","NY-NYCPHL-000233","OQ468874","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-04"
"4071","NY-NYCPHL-000443","OQ468878","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-21"
"4072","Monkeypox/PT0301/2022","OP414335","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-07"
"4073","Monkeypox/PT0273/2022","OP414313","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-15"
"4074","MPXV_USA_2022_NC0007","OP604523","Gigante,C.M., Pettit,D., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Knipe,K., Burroughs,S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Deutsch-Feldman,M., Li,Y.","CDC, DHCPP-PRB","2022-07-XX"
"4075","MPX/UZ_REGA_4/Belgium/2022","ON880420","Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P.","","2022-05-27"
"4076","MpxV/human/USA/OH-UW-082260/2022","OP257256","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-08-XX"
"4077","Monkeypox/PT0143/2022","OP324462","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-07"
"4078","MPXV/Germany/2022/ON/RKI688","OQ339207","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"4079","MPXV/Germany/2022/RKI428","OP594192","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"4080","NY-NYCPHL-000315","OQ468866","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-05"
"4081","MPXV/Germany/2022/RKI021","ON694334","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany","2022-05-XX"
"4082","NY-NYCPHL-000158","OQ419004","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-06-29"
"4083","hMPX/Human/USA/CA-LACPHL-MA00020/2022","OP440589","Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-07-27"
"4084","MPXV/Germany/2022/RKI539","OP715819","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-06-XX"
"4085","NY-NYCPHL-000661","OQ419055","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-18"
"4086","hMPXV-IHU00014","OP382491","Colson,P.","IHU - Mediterranee Infection, MEPHI","2022-07-22"
"4087","MPXV_USA_2022_CA0044","OP451015","Gigante,C.M., Ventura,J., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.","CDC, DHCPP-PRB","2022-06-XX"
"4088","BOL-UNIMOL-MPX-293614-L","OP959062","Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.","Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)","2022-11-11"
